,20260319 CRM Taxonomy CANON V1,,,,,,,,,
,"This CANON file combines (1) Customer Intelligence Taxonomy properties used for targeting and segmentation. Geography should use HubSpot native location fields (Country, State/Region, City); no custom region dropdown is included in V1. (2) current / legacy CRM contact properties used to store operational customer data and ",,,,,,,,,
,,,,,,,,,,
,SECTION 1 — CUSTOMER INTELLIGENCE TAXONOMY (Targeting / Segmentation Use),,,,,,,,,
,Section / Purpose,Layer,Record Type,Property Label,Internal Name,Field Type,Property Group,Options,Description,Notes / Current Use
,Targeting / segmentation,L1,Company,Organization Type (Inferred) [L1],org_type_l1,Dropdown,Customer Intelligence Taxonomy,"Builder
Developer
Builder-Developer
Architecture Firm
Design/Drafting Firm
Planning Firm
Municipality / Approving Authority
Mixed",Inferred organization type based on public data or enrichment.,New proposed property
,Targeting / segmentation,L1,Company,Company Scale (Inferred) [L1],company_scale_l1,Dropdown,Customer Intelligence Taxonomy,"Small
Medium
Large",Inferred company size based on projects/year or employee count.,New proposed property
,Targeting / segmentation,L1,Company,Subdivision Activity (Inferred) [L1],subdivision_activity_l1,Dropdown,Customer Intelligence Taxonomy,"Low
Moderate
High",Estimated level of subdivision-related activity.,New proposed property
,Targeting / segmentation,L1,Contact,Role (Inferred) [L1],role_inferred_l1,Dropdown,Customer Intelligence Taxonomy,"Sales
Marketing
Design/Drafting
Planning/Development
Executive
Approval Submission
Approval Processing","Inferred contact role based on job title, LinkedIn, or enrichment.",New proposed property
,Targeting / segmentation,L2,Company,Organization Type [L2],org_type_l2,Dropdown,Customer Intelligence Taxonomy,"Builder
Developer
Builder-Developer
Architecture Firm
Design/Drafting Firm
Planning Firm
Municipality / Approving Authority
Mixed",Confirmed organization type provided by the user.,New proposed property
,Targeting / segmentation,L2,Company,Company Scale [L2],company_scale_l2,Dropdown,Customer Intelligence Taxonomy,"Small
Medium
Large",Confirmed company scale provided by the user.,New proposed property
,Targeting / segmentation,L2,Company,Subdivision Involvement [L2],subdivision_involvement_l2,Dropdown,Customer Intelligence Taxonomy,"Low
Moderate
High",Confirmed percentage of work involving subdivision projects.,New proposed property
,Targeting / segmentation,L2,Contact,Role [L2],role_l2,Dropdown,Customer Intelligence Taxonomy,"Sales
Marketing
Design/Drafting
Planning/Development
Executive
Approval Submission
Approval Processing",Confirmed contact role provided by the user.,New proposed property
,Targeting / segmentation,L2,Contact,Primary Workflow Context [L2],workflow_context_l2,Dropdown,Customer Intelligence Taxonomy,"Urban Planning
Development Management
Product Design
Approval Submission
Approval Processing
Sales/Presale
Sales/Inventory
Portfolio/Marketing
Construction/Production
Mixed/Unknown","Primary workflow context used for routing, messaging, and targeting.",New proposed property
,Targeting / segmentation,L2,Contact,Secondary Workflow Context [L2],secondary_workflow_context_l2,Dropdown,Customer Intelligence Taxonomy,"Urban Planning
Development Management
Product Design
Approval Submission
Approval Processing
Sales/Presale
Sales/Inventory
Portfolio/Marketing
Construction/Production
Mixed/Unknown",Optional secondary workflow context if the contact spans multiple functions.,New proposed property
